序号, 题目, 类型, 选项, 答案
1,Java 语言中创建一个对象使用的关键字为,选择,class;interface;new;create,new
2,对于可以随着窗口的宽度变化而改变相应控件位置的布局对象是哪一种？,填空,,FlowLayout
3,对于可以独立运行的 Java 应用程序，可以有多个 main 方法,判断,,错误
4,布尔型变量的真值表示为,填空,,true
5,用 abstract 定义的类可以被实例化,判断,,错误
6,设有对象 a 具有属性 x，则访问该属性的方法为,选择,a.x;a.x();x.a;x.a(),a.x
7,声明一个类的方法是最终的，即不能被其子类覆盖该方法，应使用修饰符,选择,abstract;public;protected;final,final
8,continue 语句只中断所在层循环中的当次循环,判断,,正确
9,java 不允许类之间的多重继承，但通过在一个类中实现多个什么，可达到多重继承的目的？,填空,,接口
10,下列关于构造方法的说法中，正确的是,选择,定义类类型时，其构造方法不可省略;类的构造方法不能与类名相同;一个类类型，只能定义一个构造方法;在用 new 运算符生成类的一个对象时，构造方法被调用执行,在用 new 运算符生成类的一个对象时，构造方法被调用执行
11,按钮可以产生 ActionEvent 事件，实现哪个接口可处理此事件？,选择,FocusListener;ComponentListener;WindowListener;ActionListener,ActionListener
12,每个使用组件的程序必须有一个,选择,按钮;容器;菜单;标签,容器
13,在图形界面中，将容器的版面分为东. 南. 西. 北. 中 5 个区域，这样的布局（版面设置）称为,填空,,BorderLayout
14,对象是相关数据和方法的结合体，分别对应于对象的两个特征：状态和,填空,,行为
15,若有 class A extends B{}，则 B 是一个接口,判断,,错误
16,若有 class A implements B{}，则 B 是一个接口,判断,,正确
17,下面哪个不是 Java 应用程序中 main()方法前面的修饰符？,选择,void;static;public;final,final
18,Java 源程序的编译命令是,填空,,javac
19,创建一个包要用到的关键字是,填空,,package
20,程序中子类拥有的成员数目一定大于等于其父类拥有的成员数目,判断,,正确